episode,reward,avg_loss,epsilon,success,steps
585,22.500,6.10986,0.251,0,50
586,2.000,6.66641,0.250,0,50
587,9.500,6.65445,0.248,0,50
588,51.300,8.35874,0.248,1,2
589,12.500,5.25478,0.247,0,50
590,56.800,5.82061,0.247,1,12
591,17.500,5.39365,0.245,0,50
592,18.500,3.57648,0.244,0,50
593,4.000,5.91019,0.243,0,50
594,66.800,3.38947,0.242,1,37
595,28.000,4.81798,0.240,0,50
596,10.000,5.76273,0.239,0,50
597,17.500,5.48818,0.237,0,50
598,9.500,4.96801,0.236,0,50
599,52.200,14.03697,0.236,1,3
600,22.000,5.02018,0.235,0,50
601,18.000,6.56849,0.233,0,50
602,14.500,5.47246,0.232,0,50
603,11.500,6.34654,0.231,0,50
604,58.300,5.92696,0.230,1,12
605,10.000,6.14501,0.229,0,50
606,1.000,5.67892,0.228,0,50
607,59.900,5.54620,0.227,1,21
608,6.500,6.24591,0.226,0,50
609,13.500,5.52502,0.224,0,50
610,36.500,3.93899,0.223,0,50
611,7.000,5.34012,0.222,0,50
612,21.500,5.32774,0.220,0,50
613,26.000,6.52320,0.219,0,50
614,12.500,6.06475,0.217,0,50
615,56.700,4.23954,0.217,1,23
616,24.500,4.77072,0.216,0,50
617,57.700,6.39554,0.215,1,18
618,15.000,5.45279,0.214,0,50
619,13.500,5.25550,0.212,0,50
620,63.200,5.74442,0.211,1,33
621,20.500,5.62807,0.210,0,50
622,9.500,5.16413,0.209,0,50
623,53.100,4.28886,0.208,1,9
624,14.500,4.88675,0.207,0,50
625,54.900,6.97521,0.207,1,11
626,17.500,6.31084,0.205,0,50
627,14.500,6.19848,0.204,0,50
628,21.500,6.01357,0.203,0,50
629,58.100,3.62906,0.202,1,14
630,65.100,6.91530,0.201,1,49
631,51.400,5.09878,0.200,1,21
632,2.000,4.71353,0.199,0,50
633,7.000,5.66317,0.198,0,50
634,12.500,4.80871,0.196,0,50
635,12.500,6.75094,0.195,0,50
636,30.000,4.96795,0.194,0,50
637,65.100,5.41068,0.192,1,49
638,8.000,7.62808,0.191,0,50
639,16.500,6.67726,0.190,0,50
640,9.000,6.31008,0.188,0,50
641,53.200,7.37896,0.188,1,3
642,63.500,6.47058,0.187,1,30
643,20.000,7.14210,0.186,0,50
644,3.000,5.07138,0.185,0,50
645,59.500,5.45307,0.184,1,25
646,58.500,6.24601,0.183,1,25
647,13.500,5.10394,0.182,0,50
648,67.300,6.49250,0.181,1,32
649,19.000,5.38684,0.180,0,50
650,20.000,6.65443,0.178,0,50
651,62.100,7.53832,0.178,1,24
652,-0.500,6.57843,0.176,0,50
653,7.000,5.82020,0.175,0,50
654,22.500,6.39638,0.174,0,50
655,28.500,7.49686,0.172,0,50
656,7.000,6.62851,0.171,0,50
657,66.400,7.25449,0.170,1,31
658,17.500,6.04580,0.169,0,50
659,54.800,6.10690,0.168,1,12
660,57.100,6.61203,0.167,1,34
