episode,reward,avg_loss,epsilon,success,steps
569,57.100,13.73257,0.050,1,14
570,55.100,21.72575,0.050,1,34
571,1.000,22.04412,0.050,0,50
572,54.900,27.36513,0.050,1,11
573,52.800,35.04398,0.050,1,7
574,37.000,20.97793,0.050,0,50
575,60.700,18.57001,0.050,1,18
576,31.000,25.43033,0.050,0,50
577,88.000,24.67049,0.050,1,45
578,56.400,23.92044,0.050,1,11
579,51.600,17.91616,0.050,1,4
580,13.500,26.79629,0.050,0,50
581,37.500,27.56489,0.050,0,50
582,52.200,16.87731,0.050,1,3
583,11.000,22.34263,0.050,0,50
584,56.700,24.71810,0.050,1,13
585,20.500,25.23448,0.050,0,50
586,17.500,20.51012,0.050,0,50
587,28.500,23.16326,0.050,0,50
588,51.300,48.11055,0.050,1,2
589,62.600,19.51168,0.050,1,19
590,15.000,24.85192,0.050,0,50
591,38.500,21.67250,0.050,0,50
592,56.300,18.49733,0.050,1,22
593,52.700,23.24704,0.050,1,8
594,19.000,26.02687,0.050,0,50
595,26.500,22.41627,0.050,0,50
596,39.500,22.93240,0.050,0,50
597,32.500,21.13255,0.050,0,50
598,21.000,20.98574,0.050,0,50
599,52.700,2.73598,0.050,1,3
600,31.500,22.53739,0.050,0,50
601,58.800,17.46946,0.050,1,12
602,54.800,28.45662,0.050,1,17
603,53.400,35.57187,0.050,1,6
604,52.100,19.37913,0.050,1,4
605,23.000,25.19666,0.050,0,50
606,65.200,20.29234,0.050,1,33
607,54.500,16.88235,0.050,1,10
608,70.200,21.32370,0.050,1,28
609,65.300,15.32615,0.050,1,37
610,51.700,42.17568,0.050,1,3
611,9.500,16.25667,0.050,0,50
612,53.700,31.25680,0.050,1,8
613,55.700,20.79468,0.050,1,8
614,61.000,27.63276,0.050,1,15
615,13.000,19.62052,0.050,0,50
616,55.300,20.50869,0.050,1,7
617,52.000,15.55107,0.050,1,5
618,26.500,19.88869,0.050,0,50
619,28.000,21.12881,0.050,0,50
620,32.500,16.16939,0.050,0,50
621,19.000,19.11650,0.050,0,50
622,40.000,22.89874,0.050,0,50
623,40.000,32.16366,0.050,0,50
624,54.900,21.62451,0.050,1,11
625,23.000,26.63905,0.050,0,50
626,51.600,11.06110,0.050,1,4
627,72.100,18.13162,0.050,1,34
628,27.000,24.60823,0.050,0,50
629,59.300,25.92517,0.050,1,17
630,52.200,23.74898,0.050,1,3
631,53.000,20.23710,0.050,1,5
632,84.000,23.91284,0.050,1,45
633,56.900,31.70474,0.050,1,11
634,29.500,18.60209,0.050,0,50
635,54.000,35.13404,0.050,1,10
636,33.500,17.82526,0.050,0,50
637,41.000,26.82534,0.050,0,50
638,55.000,30.87770,0.050,1,10
639,19.500,28.59986,0.050,0,50
640,53.700,13.11726,0.050,1,8
641,52.300,12.96007,0.050,1,2
642,53.000,14.50911,0.050,1,5
643,53.900,19.11542,0.050,1,6
644,39.000,25.33642,0.050,0,50
645,41.000,21.93183,0.050,0,50
646,18.000,30.50522,0.050,0,50
647,34.500,21.58760,0.050,0,50
648,31.500,26.65180,0.050,0,50
649,61.900,19.91164,0.050,1,16
650,81.600,27.87047,0.050,1,49
651,52.700,15.46467,0.050,1,3
652,71.600,27.76913,0.050,1,29
653,35.000,21.51411,0.050,0,50
654,38.500,19.61353,0.050,0,50
655,59.700,17.73677,0.050,1,18
656,68.400,24.96299,0.050,1,41
657,27.500,23.03036,0.050,0,50
658,17.000,21.08074,0.050,0,50
659,35.500,23.34148,0.050,0,50
660,33.000,22.48805,0.050,0,50
661,58.400,20.21829,0.050,1,36
662,36.000,26.40692,0.050,0,50
663,77.900,27.42918,0.050,1,41
664,10.500,20.72085,0.050,0,50
665,51.700,38.50365,0.050,1,3
